source,target,year
2018-10 • BUILDING STATES AND MAKING EMPIRES IN INDIAN,Karim Tiro,2018
"2010-21. Progress and Power in State Policy: New York and the Canadas,",Karim Tiro,2010
2006-23. Border Crossings: International Perspectives on the Iroquois Experience,Karim Tiro,2006
2013-8 • IMAGINING PLACE IN THE EARLY AMERICAN REPUBLIC,Karin Huebner,2013
2021-51: Echoes Of Violence: Memories Of Massacres On,Karin Huebner,2021
2008-25. The Political Revealed,Karin Wulf,2008
"2014-51  THE BOOK TRADES, GENTILITY, AND THE NEW",Karin Wulf,2014
2016-18 • DEFINING THE FAMILY IN THE EARLY AMERICAN,Karin Wulf,2016
2017-16 • CREATING THE PAST IN THE EARLY REPUBLIC:,Karin Wulf,2017
2022-9: Black Resistance And Black Revolution:,Karin Wulf,2022
2022-9: Black Resistance And Black Revolution:,Karin Wulf,2022
"2007-16. Lineage as Representation, Lineage as Capital: Genealogy as Politics in",Karin Wulf,2007
"2004-22. The Limits of the ""Extended Republic"": War, Peace, and American Indians",Karl Davis,2004
"2004-8. Nature's Resources: Narratives of Commodification,",Karl Jacoby,2004
2000-13. POPULAR MEDICINE IN THE EARLY REPUBLIC,Karol Weaver,2000
2019-48 • RELIGIOUSLY REMEMBERING THE AMERICAN,Kate Cart,2019
2017-42 • THE PRESIDENT,Kate Elizabeth Brown,2017
"2008-24. Civil Theatrics: Dress, Plays, and Constitutions",Kate Haulman,2008
2022-10: New Intellectual Histories Of The Early,Kate Haulman,2022
2022-28: Where Do I Belong?: Ramifications For Women,Kate Kaitcer,2022
2014-41  NEGOTIATED FREEDOM: AFRICAN AMERICANS,Kate Masur,2014
2015-27 • ROUNDTABLE: THE LONG EMANCIPATION IN THE,Kate Masur,2015
2017-41 • BEYOND THE AMERICAN COLONIZATION SOCIETY: THE,Kate Masur,2017
"2018-21 • ON THE MOVE AND IN THE MARKET: SLAVERY,",Kate Masur,2018
2019-4 • AFRICAN AMERICANS AND THE URBAN NORTH,Kate Masur,2019
2019-4 • AFRICAN AMERICANS AND THE URBAN NORTH,Kate Masur,2019
2021-57: Roundtable: Political Structures And The,Kate Masur,2021
2022-36: Contesting The Politics Of Slavery And Freedom,Kate Masur,2022
2022-36: Contesting The Politics Of Slavery And Freedom,Kate Masur,2022
"2016-34 • INSCRIPTION, MATERIAL CULTURE, AND PLACE IN",Kate Silbert,2016
2012-SCIENCE AND MEDICINE,Katherine Arner,2012
2007-7. French Connection,Katherine C. Woltz,2007
2019-52 • NEW HISTORIES OF MIGRATION AND MOBILITY,Katherine Carper,2019
2022-20: Federal Sovereignty And State Policy:,Katherine Carper,2022
1995-10. VISIONS OF CONTROL: LANGUAGE &,Katherine Chavigny,1995
1999-1. Comparative Views of Antebellum,Katherine Chavigny,1999
"2003-5. TRANSCENDENTALISM, CONTINENTALISM, AND REFORM",Katherine Chavigny,2003
2009-37. The Domestic Economy and Market Culture of Slavery and Freedom,Katherine Chilton,2009
2018-49 • RELIGION AND THE STATE: THE COMPLEX ROLES OF,Katherine D. Moran,2018
2018-49 • RELIGION AND THE STATE: THE COMPLEX ROLES OF,Katherine D. Moran,2018
2015-35 • SETTLERS AND VIGILANTES: VIOLENCE AND THE,Katherine Grandjean,2015
2019-15 • DIFFERENT DRUMMERS: IMPROVISING SINGULAR,Katherine Grandjean,2019
2019-15 • DIFFERENT DRUMMERS: IMPROVISING SINGULAR,Katherine Grandjean,2019
2017-40 • LEARNING TO SEE THE PAST: A ROUNDTABLE,Katherine Grier,2017
1989-9. Three Antebellum Frontiers,Katherine H. Richardson,1989
2012-CONSTRUCTING AND CHALLENGING GENDER IDEALS IN,Katherine Hijar,2012
2009-12. Parlor and Bedroom Politics: Heterosociability in the Early Republic,Katherine Jorgensen Gray,2009
2012-MENWOMENAND AUTHORSHIP IN THE EARLY REPUBLIC,Katherine Jorgensen Gray,2012
1994-Panel 7: Class and Cultural Transformation in,Katherine K. Preston,1994
2019-50 • ARDENT SPIRITS AND OPIUM DREAMS:,Katheryn P. Viens,2019
1985-1. Federalism and the Common Law Chair:,Katheryn Preyer,1985
2014-9  THE BODY POLITIC AND THE BODILY SELF,Kathleen Brown,2014
"2016-37 • BLOOD, BELONGING, CITIZENSHIP, AND LEGAL",Kathleen Brown,2016
1997-1. From Sentiment to Seduction:,Kathleen Brown,1997
"2010-49. The Brothertown Indians and Citizenship: Race, Property, and",Kathleen Brown-Pérez,2010
2012-J.M. O,Kathleen Duval,2012
2013-PLENARY • MISSOURI: CROSSROADS OF THE,Kathleen Duval,2013
2017-31 • ROUNDTABLE: HOW NOT TO WRITE YOUR SECOND,Kathleen Duval,2017
2021-36: Peace And Violence In The 19th Century Native,Kathleen Duval,2021
1998-1. Indian Relations in the Early Republic,Kathleen Duval,1998
"2002-7. COMMERCE, VIOLENCE, AND",Kathleen Duval,2002
2003-11. THE LOUISIANA PURCHASE: Alt NEW POSSIBILITIES AND OLD PROBLEMS,Kathleen Duval,2003
2006-33. What Happens to the Atlantic World After the American Revolution? Transforming Narratives in the Classroom Panelists:,Kathleen Duval,2006
"2007-23. A Geo-History of the Early American Republic: Borders, Margins, Public Spaces, and Cartographic Designs (see related panel, Panel 21)",Kathleen Duval,2007
2009-27. The Culture of Capitalism in Antebellum America: Views from,Kathleen Hilliard,2009
"2009-10. Cultural Resistance to Indian Removal, 1830-1860",Kathleen Hladky,2009
2014-47  REPRESENTING AND RESISTING VIOLENCE: AFRICAN,Kathleen Kennedy,2014
"1981-1. Elections, Sectionalism and Party Strength in the Jacksonian",Kathleen S. Kutolowski,1981
2014-55  THE USES AND MISUSES OF ANTI-CATHOLICISM:,Kathleen Sprows Cummings,2014
2007-1. A Postcolonial Early Republic? Moderator:,Kathleen Wilson,2007
2008-36. SHEAR Mellon Summer Seminar: Identifying and Empowering the Next,Kathryn A. Ostrofsky,2008
"1987-1. Creeks and Seminoles, Room 523",Kathryn Braund,1987
2006-32. Diary as Homing Device: Writing across Time and Space in Early Canada,Kathryn Carter,2006
"2017-3 • JERKERS, HEATHENS, AND PILGRIMS: RETHINKING",Kathryn Gin Lum,2017
2021-46: Roundtable: Race And Religion: The View From,Kathryn Gin Lum,2021
1986-1. Blacks and Native Americans in the Early Republic Chair:,Kathryn Holland Braund,1986
1989-7. The United States Army in the Seminole Wars,Kathryn Holland Braund,1989
2016-15 • COSTLY IMPROVEMENTS,Kathryn Lasdow,2016
"2017-14 • ABOUT PHILLY, IN PHILLY: THINKING SPATIALLY",Kathryn Lasdow,2017
"2019-5 • FEDERALIST NEW YORK: BUSINESS, POLITICS, AND",Kathryn Lasdow,2019
"2016-3 • DISEASE, PUBLIC HEALTH, AND CITIZENSHIP",Kathryn Olivarius,2016
"2017-29 • MINIMIZING RISK: LIFE INSURANCE, MUTUAL AID",Kathryn Olivarius,2017
2017-27 • ON BEING HUMAN: ALTERNATIVE MEDICINE AND,Kathryn R. Falvo,2017
"2019-21 • BREASTS, BELLIES, AND BARE LEGS: THE",Kathryn R. Falvo,2019
1985-1. Virginia Issues in the Early Republic Chair:,Kathryn R. Malone,1985
2009-32. Jeanne Boydston Memorial Session,Kathryn Tomasek,2009
2011-12. Roundtable: The Digital Early Republic,Kathryn Tomasek,2011
2014-31  THE CONSTRUCTION OF RADICAL NETWORKS IN THE,Kathryn Tomasek,2014
2010-12. Roundtable: The Digital Early Republic,Kathryn Tomasek,2010
1999-1. Breadwinners and Losers: Gender and,Kathryn Tomasek,1999
2000-21,Kathryn Tomasek,2000
2001-1. WOMEN'S LIVES IN ANTEBELLUM,Kathryn Tomasek,2001
2008-40. Reforming the Revolution: Religion and Politics in the 1790s,Kathyrn Ashmun Pitrone,2008
2017-22 • ROUNDTABLE: NATIVE FEATURES,Katie Lantz,2017
2011-45. Workshop: Poor Women in Early Republic Cities,Katie M. Hemphill,2011
"2017-21 • WOMEN, GENDER, AND RISK IN THE DEVELOPMENT OF",Katie M. Hemphill,2017
2010-45. Workshop: Poor Women in Early Republic Cities,Katie M. Hemphill,2010
2021-43: Money Made American: New Approaches To,Katie Moore,2021
2014-55  THE USES AND MISUSES OF ANTI-CATHOLICISM:,Katie Oxx,2014
2017-34 • ROUNDTABLE: WHITHER THE STUDY OF DEMOCRACY,Katlyn Carter,2017
2021-18: Roundtable: Rethinking The Federalist Party:,Katlyn Carter,2021
2017-33 • THE POWER OF PLACE: WOMEN,Katrina Anderson,2017
"2013-21 • HANNAH, “ONE-EYED” SARAH, AND SARAH BASS:",Katrina D. Thompson,2013
"2018-36 • LAW, DIPLOMACY, AND THE CULTURE OF SETTLER",Katrina Ponti,2018
2021-19: The Extraterritorial Early Republic:,Katrina Ponti,2021
2022-37: From West To East: Rethinking Expansion And,Katrina Ponti,2022
2009-38. What Makes an Antebellum Democrat,Kay J. Carr,2009
"2015-49 • FRAUGHT WITH FEAR, FIGHTING, AND FORGETTING:",Kay Wright Lewis,2015
2016-42 • VIOLENCE VS. LAW,Kay Wright Lewis,2016
2022-25: Avenues Of Resistance And Persistence In The,Keely Smith,2022
2008-15. Sectarian Violence in Burned-Over America: Contested Meanings,Keith Beutler,2008
"2004-11. Race, Revolution, Remembrance: African Americans and Competing",Keith Beutler,2004
1990-11. Acculturation and Nativism in Canada and the Early,Keith R. Widder,1990
2004-1. Race and Justice Slavery and Its Legacies in New England Salomon 101,Keith Stokes,2004
2019-8 • BEYOND NORTH VERSUS SOUTH: SLAVERY'S LONG,Kellen Heniford,2019
"2021-42: Northern Free Labor Ideology, And The Making",Kellen Heniford,2021
2022-2: Roundtable: Writing As Righting: Doing,Kellen Heniford,2022
2022-11: Roundtable: Sexual Misconduct And,Kellen Heniford,2022
2009-19. Foreign Policy Post 1845,Kelley Boston Clausing,2009
2011-12. Roundtable: The Digital Early Republic,Kelli Huggins,2011
2010-12. Roundtable: The Digital Early Republic,Kelli Huggins,2010
"2015-49 • FRAUGHT WITH FEAR, FIGHTING, AND FORGETTING:",Kellie Carter Jackson,2015
2019-4 • AFRICAN AMERICANS AND THE URBAN NORTH,Kellie Carter Jackson,2019
2021-1: President’s Plenary: Black Resistance In The,Kellie Carter Jackson,2021
2021-49: The Diverse Intellectual Worlds Of Black And,Kellie Carter Jackson,2021
2013-27 • INTIMATE VIOLENCE AGAINST WIVES IN THE EARLY,Kelly A. Ryan,2013
2014-47  REPRESENTING AND RESISTING VIOLENCE: AFRICAN,Kelly A. Ryan,2014
"2016-5 • LAW, DIFFERENCE, AND INEQUALITY IN THE EARLY",Kelly A. Ryan,2016
2015-45 • PECHA-KUCHA,Kelly B. Arehart,2015
2018-52 • FINANCIAL OPPORTUNITY AND ADVERSITY IN THE,Kelly Kean Sharp,2018
2013-52 • SLAVERY AND FREEDOM ON THE BORDER,Kelly Kennington,2013
"2016-33 • LAWYERS, LITIGANTS, AND THE LEGAL CULTURE OF",Kelly Kennington,2016
2022-6: Enslaver Capitalism And The Growth Of,Kelly Kennington,2022
2022-6: Enslaver Capitalism And The Growth Of,Kelly Kennington,2022
2012-RACE AND FOREIGN ENCOUNTERS,Kelly Knight,2012
2019-3 • NEGOTIATING RACE IN ANTEBELLUM ERA,Kelly Sharp,2019
2011-7. Reconsidering the Iroquois in the Early Republic,Kelly Y. Hopkins,2011
2010-7. Reconsidering the Iroquois in the Early Republic,Kelly Y. Hopkins,2010
2018-34 • SOCIABILITY AND MATERIAL CULTURE IN THE EARLY,Kelsey Brow,2018
"2019-21 • BREASTS, BELLIES, AND BARE LEGS: THE",Kelsey Brow,2019
2009-38. What Makes an Antebellum Democrat,Ken Mueller,2009
2011-3. Challenges of Western Settlement,Ken Mueller,2011
2010-3. Challenges of Western Settlement,Ken Mueller,2010
"1987-1. Intellect and Education in the Early Republic,",Ken Rowe,1987
2015-54 • NINE MONTHS IN PHILADELPHIA: BRITISH,Kendra Kennedy,2015
2019-13 • ROUNDTABLE: GOING PUBLIC,Kendra T. Field,2019
"2007-5. On Jefferson, Patriarchal Rage, Slavery and Sentiment—A Roundtable",Kenneth A. Lockridge,2007
2005-1. Slaves in the City: Urban Slavery in Comparative Perspective (Adams Room),Kenneth Aslakson,2005
2006-13. Negotiations of Race and Place in Early New Orleans,Kenneth Aslakson,2006
2018-11 • THE ORIGINS OF CELEBRITY IN THE REVOLUTION AND,Kenneth Cohen,2018
2022-26: Roundtable: Teaching With The Material,Kenneth Cohen,2022
"1987-1. Plenary Session 1619 Walnut, Auditorium, Stage 3",Kenneth Greenberg,1987
2008-34. Toppling Statues,Kenneth H. Wheeler,2008
"1995-15. MURDER, RACE, & SOCIETY",Kenneth H. Wheeler,1995
"1997-1. Women as Consumers,",Kenneth H. Wheeler,1997
2003-26. THE OHIO VALLEY IN THE,Kenneth H. Wheeler,2003
"1987-1. Nineteenth-Century Republicanism, Room 1505",Kenneth H. Winn,1987
1988-1. Community and Society on the Early Republican,Kenneth H. Winn,1988
1989-3. Religious Landscapes in Transition,Kenneth H. Winn,1989
1991-18. Race and Religion in Antebellum,Kenneth H. Winn,1991
"2021-58: Race, Class, And Construction Labor: A",Kenneth Hafertepe,2021
"2005-1. Making Friends and Fighting Enemies: Identity, Loyalty, and Patriotism in the American",Kenneth J. Miller,2005
2009-Plenary: Lincoln and the Legacies of the American Revolution,Kenneth J. Winkle,2009
1989-1. Perspectives on the Second Party System,Kenneth J. Winkle,1989
1986-1. Networks and Political Culture in the Early Republic Chair:,Kenneth Keller,1986
2017-49 • MANHOOD IN BLACK AND WHITE: NEGOTIATING,Kenneth Marshall,2017
2005-1. Encountering Democracy: First-Generation Americans and the Burden of the Revolutionary,Kenneth Nivison,2005
2008-1790s Pennsylvania,Kenneth Owen,2008
"2013-49 • PROPERTY, POLITICS, AND ECONOMICS IN EARLY",Kenneth Owen,2013
2016-8 • ROUNDTABLE,Kenneth Owen,2016
2018-51 • THE MARGINS OF AMERICA,Kenneth Owen,2018
2022-34: Secession As A Political Strategy In The Early,Kenneth Owen,2022
2009-19. Foreign Policy Post 1845,Kenneth R. Stevens,2009
"1987-1. Presidential Revisionism: John Quincy Adams,",Kenneth R. Stevens,1987
1996-1. Manifest Designs and Many Destinies:,Kenneth R. Stevens,1996
1999-1. Transcending Diplomacy: Filibustering and the Expansi of the Nation's Hemispheric Interests,Kenneth R. Stevens,1999
"2005-1. American Sensibilities, Mediterranean Realities (Adams Room)",Kenneth R. Stevens,2005
2004-17. Communications and Public Life in Antebellum America (Salomon 001),Kenneth Silverman,2004
1991-6. Social Improvement in the Nineteenth,Kenny O. Mcdougle,1991
"2017-50 • CITIZENS AND SOLDIERS, BETWIXT AND BETWEEN:",Kent Peacock,2017
2018-15 • AMERICAN SETTLER STATE FORMATION IN THE,Kent Peacock,2018
"1983-6. Jacksonian Politics: Chair,",Kermit L. Hall,1983
1989-16. Honor and Opportunity in the New Republic,Kermit L. Hall,1989
1991-8. The Transformation of Criminal Justice:,Kermit L. Hall,1991
1991-8. The Transformation of Criminal Justice:,Kermit L. Hall,1991
2019-22 • PUBLIC HISTORY: BEYOND UNIVERSITIES STUDYING,Kerri Greenidge,2019
1989-3. Religious Landscapes in Transition,Kerry S. Walters,1989
2012-MISADVENTURES,Kevin Arlyck,2012
"2021-3: Contesting Time In Antebellum Domesticity,",Kevin Birth,2021
2008-39. Myths and Realities of a Well-Regulated Society,Kevin Butterfield,2008
"2011-33. Considering Religious Liberty: Theological Conflict, Legal",Kevin Butterfield,2011
2012-POLITICAL IN EARLY REPUBLICAN FRIENDSHIPS,Kevin Butterfield,2012
"2013-35 • SECRECY, CONSPIRACY, AND SUBTERFUGE IN THE EARLY",Kevin Butterfield,2013
2016-6 • ORGANIZING DEMOCRACY,Kevin Butterfield,2016
"2017-50 • CITIZENS AND SOLDIERS, BETWIXT AND BETWEEN:",Kevin Butterfield,2017
"2017-50 • CITIZENS AND SOLDIERS, BETWIXT AND BETWEEN:",Kevin Butterfield,2017
"2010-33. Considering Religious Liberty: Theological Conflict, Legal",Kevin Butterfield,2010
2014-10  DISSENT IN WARTIME AMERICA,Kevin Gannon,2014
"1999-1. Memory, Commemoration,",Kevin Gannon,1999
2003-27. THE WAR OF 1812:,Kevin Gannon,2003
"2004-3. The Federalists, Race, and Expansion in the Early Republic (MacMillan 115)",Kevin Gannon,2004
2003-14. INTELLECTUALS AND AMERICAN NATIONALITY,Kevin Gumienny,2003
2019-41 • AFRICAN COLONIZATION AND MIGRATION:,Kevin Hooper,2019
2019-50 • ARDENT SPIRITS AND OPIUM DREAMS:,Kevin Kaufmann,2019
"2000-22. THE CAPITALIST FRONTIER: INTEGRATION,",Kevin P. Thornton,2000
1996-1. Republicanism and Nationalism,Kevin R. Gutzman,1996
2021-4: In The Wake: African American Communities And,Kevin Vrevich,2021
2022-34: Secession As A Political Strategy In The Early,Kevin Vrevich,2022
"2015-18 • ROUNDTABLE: INDIANS, RACE, AND THE U.S. STATE IN",Kiara Vigil,2015
2009-14. Conceptualizing the Backcountry in the Early Republic,Kim Gruenwald,2009
"1995-4. EXPANSION, COMMERCE, & SOCIETY IN",Kim Gruenwald,1995
2011-19. The Early Republic in a Global Economy,Kim Todt,2011
2010-19. The Early Republic in a Global Economy,Kim Todt,2010
1997-1. The Transformation of the,Kimberley Shankman,1997
2015-12 • ENSLAVED WOMEN WAGING LAW IN THE NINETEENTHCENTURY AMERICAN SOUTH,Kimberly M. Welch,2015
"2019-25 • MERCHANTS, COMMERCE, AND CONFLICTED",Kimberly Sherman,2019
1993-20. Roundtable: New Perspectives on the Foreign Relations,Kinley Brauer,1993
1999-1. Transcending Diplomacy: Filibustering and the Expansi of the Nation's Hemispheric Interests,Kinley Brauer,1999
2018-22 • MORALITY AND MARKETS: REGULATING CAPITALISM,Kirsten Beales,2018
2008-39. Myths and Realities of a Well-Regulated Society,Kirsten E. Wood,2008
2013-40 • “GONE TO HELL IN A HAND BASKET”: THE SEARCH FOR,Kirsten E. Wood,2013
2014-54  WOMEN AND PROPERTY IN EARLY AMERICA,Kirsten E. Wood,2014
2015-2 • AMERICANS IN MOTION: CONTESTED MEANINGS OF,Kirsten E. Wood,2015
2016-30 • MISTRESSES OF SMALL WORLDS,Kirsten E. Wood,2016
2017-10 • MUSIC AND POWER BEFORE THE CIVIL WAR,Kirsten E. Wood,2017
2017-10 • MUSIC AND POWER BEFORE THE CIVIL WAR,Kirsten E. Wood,2017
2018-2 • GENDER AND RELIGION IN THE POLITICS OF THE 1830S,Kirsten E. Wood,2018
2018-2 • GENDER AND RELIGION IN THE POLITICS OF THE 1830S,Kirsten E. Wood,2018
2022-11: Roundtable: Sexual Misconduct And,Kirsten E. Wood,2022
1996-1. Women in the Public Arena,Kirsten E. Wood,1996
2000-7. GENDER AND TRAVEL IN THE EARLY AMERICAN REPUBLIC,Kirsten E. Wood,2000
"2005-1. Gender, Taverns, and Political Culture in the Early Republic (Franklin Room)",Kirsten E. Wood,2005
"2008-37. Demons, Deists, and Fist-Throwing Moral Philanthropists: The Early",Kirsten Fischer,2008
"2013-38 • IRRELIGION, RADICAL DEISM, AND THE SHAPE OF EARLY",Kirsten Fischer,2013
2015-22 • ROUNDTABLE: GENDER AND GENIUS IN THE EARLY,Kirsten Fischer,2015
"2016-3 • DISEASE, PUBLIC HEALTH, AND CITIZENSHIP",Kirsten Fischer,2016
2019-37 • AT THE CROSSROADS OF RELIGIOUS AND POLITICAL,Kirsten Fischer,2019
2004-9. The Empire of Liberty. Race and the Making of the American North,Kirsten Fischer,2004
2008-25. The Political Revealed,Kirsten Sword,2008
1990-2. Women in Utopia: Gender and Power in Ante,Klaus J. Hansen,1990
2008-16. The Private and Public Meaning of Sentiment and Seduction,Konstantin Dierks,2008
2009-33. Archetypes in Print: Constructing Categories in the Early Republic,Konstantin Dierks,2009
2018-6 • EARLY REPUBLIC ENCOUNTERS IN THE WIDER WORLD,Konstantin Dierks,2018
2021-27: Roundtable: The Early Republic And The Pacific,Konstantin Dierks,2021
1996-1. Masculine Identity,Konstantin Dierks,1996
2007-6. A New Nation Votes: American Electoral Return 1787-1825—sponsored by the,Krista Ferrante,2007
2007-11. A New Nation Votes: American Electoral Return 1787-1825-workshop,Krista Ferrante,2007
2008-8. Unmasking Men: How Assumptions about Race and Violence,Kristen Foster,2008
2013-6 • RECASTING EARLY AMERICAN HISTORICAL NARRATIVE,Kristen Foster,2013
2016-14 • MASCULINITY AND SLAVERY IN THE ATLANTIC WORLD,Kristen Foster,2016
2017-49 • MANHOOD IN BLACK AND WHITE: NEGOTIATING,Kristen Foster,2017
2021-35: The Many Meanings Of Migration,Kristen Tegtmeier Oertel,2021
2021-35: The Many Meanings Of Migration,Kristen Tegtmeier Oertel,2021
"2022-3: Roundtable: Creating Connections, Telling",Kristin Gallas,2022
2022-28: Where Do I Belong?: Ramifications For Women,Kristin Miller,2022
"2021-23: Local Officials, Legal Professionalization, And",Kristin O,2021
"2021-23: Local Officials, Legal Professionalization, And",Kristin O’brassill-Kulfan,2021
2021-55: Poor Children In Early Republic Cities,Kristin O’brassill-Kulfan,2021
1986-1. Blacks and Native Americans in the Early Republic Chair:,Kristin S. Peters,1986
"2011-11. Language, Print, and Culture",Kristin Stone,2011
"2010-11. Language, Print, and Culture",Kristin Stone,2010
"2009-36. Identity and Reputation on the Southern Frontier, 1780-1820",Kristofer Ray,2009
"2005-1. Making a ""State of Courts and Parties"": The Political Paradoxes of Judicial Reform, 1800",Kristofer Ray,2005
"2006-19. Rethinking Jefferson's Politics, 1800-1815",Kristofer Ray,2006
2009-41. Reconstructing Empire: Race and Power in the Post-Revolutionary,Kristopher Maulden,2009
2012-EXPERIENCES IN THE WAR OF 1812,Kristopher Maulden,2012
2002-2. CULTURAL IMAGININGS OF GOLD RUSH CALIFORNIA,Krystyn R. Moon,2002
"1991-12. Political Culture, Religion, and Social",Kurt E. Leichtle,1991
"2021-45: Roundtable On Public History, Today And",Kyera Singleton,2021
"2013-34 • RELIGION, RATIONALITY, AND FREEDOM IN THE EARLY",Kyle Bulthuis,2013
2018-18 • ROUNDTABLE: TEACHING THE EARLY REPUBLIC IN,Kyle Bulthuis,2018
2019-47 • RADICAL ARTS AND SMARTS: BLACK INTELLECTUAL,Kyle Bulthuis,2019
"2022-17: Roundtable: Historical Sources, Digital",Kyle Courtney,2022
2008-42. Friendships and Associations in Antebellum America,Kyle G. Volk,2008
2011-31. New Directions in the Early Republic,Kyle G. Volk,2011
2018-30 • GRASSROOTS POLITICS IN THE EARLY REPUBLIC,Kyle G. Volk,2018
2010-31. New Directions in the Early Republic’s Reform Movements,Kyle G. Volk,2010
2005-1. The Limits of Democracy in Antebellum America (Jefferson Room),Kyle G. Volk,2005
2021-52: Reflections On 19th-century Inter-american,Kyle Jackson,2021
2022-14: Race And Empire In North America And Beyond,Kyle Jackson,2022
"2013-23 • CELESTIAL CITIES, BABYLONS, OR VANITY FAIRS",Kyle Roberts,2013
"2021-16: Roundtable: Sources, Methods,",Kyle Roberts,2021
2006-20. Building Ideologies: Rereading the Material Cultural ? of the Early Republic,Kyle Roberts,2006
2007-25. Print and Manuscript Cultures in the Antebellum Period,Kyle Roberts,2007
2019-29 • POWER AND RIGHTS IN THE EARLY REPUBLIC,Kyle Volk,2019
2012-INTERDISCIPLINARY PERSPECTIVES,Kym Rice,2012
"1984-5. The Free Exercise of Religion: Creating, Exhorting, Converting Business SPEA, Room 2000 Chair:",L. C. Rudolph,1984
2011-44. More Than an Abolitionist: Frederick Douglass and the Impulse,L. Diane Barnes,2011
2013-5 • EDWARD PESSEN,L. Diane Barnes,2013
2014-7  AFRICAN AMERICAN INTELLECTUALS AND,L. Diane Barnes,2014
2017-2 • DIGITIZING THE EARLY REPUBLIC: WORDS AND TEXTS,L. Diane Barnes,2017
2010-44. More Than an Abolitionist: Frederick Douglass and the Impulse,L. Diane Barnes,2010
1998-1. Artisanal Claims to Nationalism in the,L. Diane Barnes,1998
2001-1. MASCULINE IDENTITY IN THE EARLY REPUBLIC,L. Diane Barnes,2001
2003-7. CROSSING THE BEAUTIFUL RIVER:,L. Diane Barnes,2003
"2007-33. A Modern, Transnational South? New Interpretations of the Slave",L. Diane Barnes,2007
1989-14. Rhetoric and Reality in Postwar Politics,L. Ray Gunn,1989
1999-1. Racial Consciousness and Nation,Lacy Ford,1999
1993-8. Roundtable: Frederick Jackson Turner and the Early Republic,Lacy K. Ford,1993
1996-1. Robert H. Wiebe's Early Republic,Lacy K. Ford,1996
1984-11. 19th-Century Historians of the Early Republic Van Camp West Chair:,Lana Ruegamer,1984
1990-7. James Madison and His Biographers,Lance Banning,1990
1996-1. Republicanism in Political Thought,Lance Banning,1996
2001-1. WRITING TWENTY-FIRST CENTURY BIOGRAPHIES OF GREAT WHITE MEN,Lance Banning,2001
2011-44. More Than an Abolitionist: Frederick Douglass and the Impulse,Larry E. Hudson,2011
2010-44. More Than an Abolitionist: Frederick Douglass and the Impulse,Larry E. Hudson,2010
2015-36 • NORTH CAROLINA'S FREE PEOPLE OF COLOR IN THE,Larry E. Tise,2015
2017-47 • “GLADLY,Larry E. Tise,2017
1996-1. Proslavery and Abolition in the Antebellum,Larry E. Tise,1996
"1993-11. Internal Improvements and Slavery Again: Redefining Issues in American Party Politics,",Larry K. Menna,1993
"1983-6. Jacksonian Politics: Chair,",Larry Klein,1983
2003-1. MARBURY v. MADISON: BICENTENNIAL RECONSIDERATIONS,Larry Kramer,2003
1981-1. American Foreign Policy and Dissent in the Early Republic.,Larry R. Morrison,1981
"2007-33. A Modern, Transnational South? New Interpretations of the Slave",Larry. E. Hudson Jr.,2007
2000-26. MARKET TRANSITIONS IN THE NEW REPUBLIC:,Laura Croghan Kamole,2000
2004-13. Fruits of Their Honest Labour: New England Work Culture,Laura Driemeyer,2004
2011-39. Circles of Influence: The Development and Extension of the,Laura E. Free,2011
2010-39. Circles of Influence: The Development and Extension of the,Laura E. Free,2010
2021-56: New Histories Of Black Citizenship: A State-ofthe-field Roundtable,Laura Edwards,2021
1999-1. Roundtable: Expanding the Boundaries,Laura Edwards,1999
"2021-24: The Partisan Press: Abolitionism, Populism, And",Laura Ellyn Smith,2021
2013-39 • BRINGING SLAVERY INTO INTERPRETATION AT HISTORIC,Laura M. Chmielewski,2013
2009-26. Teaching the Early Republic: A Roundtable,Laura Mccall,2009
1990-6. The Frontier in the Early Republic,Laura Mccall,1990
1992-9. Gender and the Ideal of Purity: A Second Look at,Laura Mccall,1992
1997-1. Gender and Authority in the,Laura Mccall,1997
1998-1. Antislavery Women and Nationalism,Laura Mccall,1998
1999-1. Beyond the Boundaries: Redefinitions of Womanly Behavior,Laura Mccall,1999
2003-29. RECONSTITUTING A HEALTHY BODY: SENTIMENTAL WRITING AND SICKNESS IN THE EARLY AMERICAN REPUBLIC,Laura Mccall,2003
1996-1. Religion and Politics in New England,Laura Mitchell,1996
"2000-15. BODIES OF KNOWLEDGE: SCIENCE,",Laura Rigal,2000
2019-54 • ANTISLAVERY AMBIVALENCE IN THE EARLY,Laura Rosanne Adderley,2019
2019-54 • ANTISLAVERY AMBIVALENCE IN THE EARLY,Laura Rosanne Adderley,2019
2022-35: Reevaluating Migration And Citizenship In The,Laura Rosanne Adderley,2022
2011-43. Behind and Beyond the Camera: Rethinking Antebellum,Laura Saltz,2011
2010-43. Behind and Beyond the Camera: Rethinking Antebellum,Laura Saltz,2010
"2000-24. NEW YORK, NEW YORK",Laura-Eve Moss,2000
2012-SHAPING OF LATE COLONIAL AND TERRITORIAL FLORIDA,Laurel Clark Shire,2012
"2018-44 • WHITHER THE EARLY REPUBLIC,",Laurel Clark Shire,2018
2021-5: Roundtable: The Problem Of “isms”: Democracy,Laurel Clark Shire,2021
2014-43  THE MATERIAL CULTURE OF DISABILITY IN THE,Laurel Daen,2014
"2017-29 • MINIMIZING RISK: LIFE INSURANCE, MUTUAL AID",Laurel Daen,2017
